tcp,estc,playfile,Wiggins number,author,author 2,author 3,author 4,author 5,translator,in 704 corpus,in 554 corpus,missing from both,title,alternative title,genre,Wiggins genre,DEEP genre,Wiggins contemporary genre,date of writing,date of 1st performance,date of 1st publication,date of text used,play company 1,play company 2,theatre,metre,rhyme,notes
A11954,S111228,A11954_08,1012,"Shakespeare, William",,,,,,yes,yes,no,A Midsummer Night's Dream,Performed+Printed: A Midsummer Night's Dream / Contemporary: [A] Midsummer Night Dream; Robin Goodfellow (possibly); [A] Midsummer's Night's Dream / Alternative Modernization: A Midsummer-Night's Dream,CO,CO,CO,CO,1595,1595,1600,1623,Lord Chamberlain's (Hunsdon's) Men,,presumably at the Theatre,"pentameter, trimeter, and prose",couplets and blank verse,
A90241,R34538,,,Anonymous,,,,,,no,no,yes,"A New Bull-Baiting, or A Match Played at the Town Bull of Ely by Twelve Mongrels",,,,Political DI,,1649,1649,1649,,,,,,,
A19888,S109313,A19888,,"Davenport, Robert",,,,,,yes,yes,no,A New Trick to Cheat the Devil,,CO,,CO,,1625,1625,1639,1639,,,,,,
A07241,S112423,A07241,,"Massinger, Philip",,,,,,yes,yes,no,A New Way to Pay Old Debts,,CO,,CO,,1625,1625,1633,1633,Queen Henrietta Maria's Men,,,,,
A11153,S116272,A11153,,"Rowley, William",,,,,,yes,yes,no,"A New Wonder, A Woman Never Vexed",,CO,,CO,,1611,1611,1632,1632,,,,,,
A03179,S112198,A03179,,"Heywood, John",,,,,,yes,no,no,A Play of Love,,IN,,Disputation,,1533,1534,1534,1534,,,,,,
A17879,S104864,,,"Campion, Thomas",,,,,,no,no,yes,A Relation of the Late Royal Entertainment,,,,n/a,,,,1613,,,,,,,
A11152,S116266,A11152,,"Rowley, William",,,,,,yes,yes,no,A Shoemaker a Gentleman,,CO,,CO,,1607,1608,1638,1638,Queen Anne's Men,,,,,
A72473,S111824,play in collection,,"Jonson, Ben",,,,,,no,no,yes,A Tale of a Tub,,,,CO,,1633,1633,1640/1641?,,Queen Henrietta Maria's Men,,,,,
A07511,S120698,A07511,,"Middleton, Thomas",,,,,,yes,yes,no,A Trick to Catch the Old One,,CO,,CO,,1605,1605,1608,1608,Children of Paul's (second),,,,,
A50093,R202151,A50093_03,,"Fletcher, John","Massinger, Philip",,,,,yes,yes,no,A Very Woman,"A Very Woman, or The Prince of Tarent",TC,,TC,,1634,1634,1655,1655,King's Men,,,,,
not in tcp?,S111574,,1080,Anonymous,,,,,,no,no,yes,A Warning for Fair Women,Printed: A Warning for Fair Women,,TR,TR,TR; play,1597,1599,1599,,Lord Chamberlain's (Hunsdon's) Men,,"presumably at the Theatre (or the Curtain, if the play is of later date)",pentameter and prose,blank verse and couplets,
A27177,R22900,A27177_29,,"Fletcher, John",,,,,,yes,yes,no,A Wife for a Month,,TC,,TC,,1624,1624,1647,1647,King's Men,,,,,
A00725,S102043,A00725,,"Field, Nathan",,,,,,yes,yes,no,A Woman Is a Weathercock,,CO,,CO,,1609,1609,1612,1612,Children of the Queen's Revels,,,,,
A03256,S118314,A03256,,"Heywood, Thomas",,,,,,yes,yes,no,A Woman Killed with Kindness,,TR,,TR,,1603,1603,1607,1607,Worcester's Men,Queen Anne's Men,,,,
A12030,S106334,A12030,,"Middleton, Thomas (?)",,,,,,yes,yes,no,A Yorkshire Tragedy,,TR,,TR,,1605,1605,1608,1608,King's Men,,,,,
A10192,S109029,A10192,581,"Bze, Thodore de",,,,,"Golding, Arthur",yes,yes,no,Abraham's Sacrifice,Printed: Abraham's Sacrifice,TR,biblical,TR,TR,1575,1575,1577,1577,,,,yes,yes,
A34847,R693,A34847_02,,"Cox, Robert",,,,,,yes,yes,no,Actaeon and Diana,,CO,,Pastoral,,1650,1653,1656,1656,,,,,,
A04604,S107861,A04604,,"Jones, John",,,,,,yes,yes,no,Adrasta,"Adrasta, or The Woman's Spleen and Love's Conquest",TC,,TC,,1635,1635,1635,1635,,,,,,
A11909,S117108,A11909_08,415,"Seneca, Lucius Annaeus",,,,,"Studley, John",yes,yes,no,Agamemnon,Printed: Agamemnon,TR,TR,TR,TR,1566,1566,1566,1581,,,,yes,yes,
A11910,S110864,A11910,415,"Seneca, Lucius Annaeus",,,,,"Studley, John",yes,no,no,Agamemnon,Printed: Agamemnon,TR,TR,TR,TR,1566,1566,1566,1566,,,,yes,yes,
A13125,S117598,A13125,,"Suckling, Sir John",,,,,,yes,yes,no,Aglaura,,TR,,TR; TC,,1637,1637,1638,1638,King's Men,,,,,
A02226,S120837,A02226_04,1225,"Greville, Fulke",,,,,,yes,yes,no,Alaham,Printed/MS: Alaham,TR,TR,TR,,1600,1600,1633,1633,,,,yes,yes,
A01777,S103196,A01777,,"Glapthorne, Henry",,,,,,yes,yes,no,Albertus Wallenstein,,TR,,Foreign History,,1639,1639,1639,1639,King's Men,,,,,
A15979,S121986,,408,Anonymous,,,,,,no,no,yes,Albion Knight,"Printed: Albion Knight / Later assigned: Albion / Alternative modernization: Albion, Knight",,moral,Moral IN,play,1537,1537,DEEP: [1566?] / Wiggins: c.1565,,,,,yes,yes,
A13846,S121944,A13846,,"Townshend, Aurelian",,,,,,yes,no,no,Albion's Triumph,,MA,,MA,,1631,1632,1631,1631,,,,,,
A19881,S109309,A19881,,"Davenant, Sir William",,,,,,yes,yes,no,"Albovine, King of the Lombards",,TR,,TR,,1626,1628,1629,1629,,,,,,
A13802,S118449,A13802,,"Tomkis, Thomas",,,,,,yes,yes,no,Albumazar,,CO,,CO,,1615,1615,1615,1615,,,,,,
A18400,S107687,A18400,,"Chapman, George",,,,,,yes,yes,no,All Fools,,CO,,CO,,1601,1601,1605,1605,Children of the Queen's Revels,,,,,
A06480,S119919,A06480,621,"Lupton, Thomas",,,,,,yes,yes,no,All for Money,Printed: All for Money,CO,moral,Satirical Moral,TR; interlude; 'moral and pitiful comedy',1577,1577,1578,1578,,,,yes,yes,
A11155,S116285,A11155,,"Rowley, William",,,,,,yes,yes,no,All's Lost by Lust,,TR,,TR,,1619,1619,1633,1633,Prince Charles's Men (first),Lady Elizabeth's Men; Queen Henrietta Maria's Men,,,,
A11954,S111228,A11954_12,,"Shakespeare, William",,,,,,yes,yes,no,All's Well That Ends Well,,CO,,CO,,1603,1603,1623,1623,Lord Chamberlain's (Hunsdon's) Men,,,,,
A31675,R19355,A31675,,Anonymous,,,,,,yes,yes,no,"Alphonsus, Emperor of Germany",,TR,,TR,,1594,1594,1654,1654,King's Men,,,,,
A02091,S105900,A02091,788,"Greene, Robert",,,,,,yes,yes,no,"Alphonsus, King of Aragon","Printed: Alphonsus, King of Aragon / Contemporary: Alphonso of Aragon; Tragicomoedia von einem König in Arragona",CO,romance,Heroical Romance,CO; 'comical history'; HI; play; tragicomoedia,1587,1587,1599,1599,Queen's Men (?),,,yes,no,
A00723,S105484,A00723,,"Field, Nathan",,,,,,yes,yes,no,Amends for Ladies,,CO,,CO,,1610,1611,1618,1618,Children of the Queen's Revels,Lady Elizabeth's Men; Prince Charles's Men (first),,,,
A13384,S118131,,,"Tasso, Torquato",,,,,"Reynolds, Henry",no,no,yes,Aminta,,,,Pastoral,,1628,1628,1628,,,,,,,
A03241,S104070,A03241_21,,"Heywood, Thomas",,,,,,yes,no,no,"Amphrisa, or The Forsaken Shepherdess",Polopaea and Alope,DI,,DI,,1635,1635,1637,1637,,,,,,
A10411,S115618,play in collection,,"Randolph, Thomas",,,,,,no,no,yes,"Amyntas, or The Impossible Dowry",,,,Pastoral,,1630,1630,1638,,King's Revels Company,,,,,
A18419,S104936,A18419,1073,"Chapman, George",,,,,,yes,yes,no,An Humorous Day's Mirth,Performed: The Comedy of Humours / Printed: A Humorous Day's Mirth / Contemporary: The Humours / Alternative Modernization: An Humorous Day's Mirth,CO,CO,CO,CO,1597,1597,1599,1599,Admiral's (Nottingham's) Men,,the Rose,prose and pentameter,no,
not in tcp?,S122018,,575,"Niclaes, Hendrik",,,,,"Vittels, Christopher",no,no,yes,An Interlude of Minds,Printed: An Interlude of Minds / Later assigned: The Interlude of Minds,,moral,Protestant Moral,IN; play; comoedia,c.1574,c.1574,[1574?],,,,,yes,yes,
A13611,S111416,A13611,791,Terence,,,,,"Kyffin, Maurice",yes,yes,no,Andria,Printed: Andria,CO,CO,CO,CO,1587,1588,1588,1588,,,,prose,,
A13613,S102998,A13613_01,,Terence,,,,,"Newman, Thomas",yes,yes,no,Andria,The Andrian Woman,CO,,CO,,1627,1627,1627,1627,,,,,,
not in tcp?,S101016,,,Terence,,,,,Anonymous,no,no,yes,Andria,,,,CO,,1516,1520,[c.1520],,,,,,,
A59974,R4872,A59974,,"S., J.",,,,,,yes,no,no,"Andromana, or The Merchant's Wife",,DI,,Topical Play,,1642,1642,1660,1660,,,,,,
n/a,n/a,,707,Sophocles,,,,,"Watson, Thomas",no,no,yes,Antigone,Performed+Printed: Antigone,,TR,Latin TR,tragoedia,1581,1581,1581,,,,,yes,,not in TCP because in Latin?
A07329,S122116,A07329,,"May, Thomas",,,,,,yes,yes,no,"Antigone, the Theban Princess",,TR,,TR,,1627,1627,1631,1631,,,,,,
A07063,S109896,A07063,1218,"Marston, John",,,,,,yes,yes,no,Antonio and Mellida,Printed: Antonio and Mellida / Contemporary: The First Part of Antonio and Mellida; Antony and Mellida,TC,CO,TC,,1599,1599,1602,1602,Children of Paul's (second),,,iambic pentameter and prose,no,
A07064,S112254,A07064,1271,"Marston, John",,,,,,yes,yes,no,Antonio's Revenge,Printed: Antonio's Revenge / Contemporary: The Second Part of Antonio and Mellida; Antonii vindictae,TR,TR,TR,TR; HI,1600,1600,1602,1602,Children of Paul's (second),,,pentameter and prose,blank verse and couplets,
A01502,S105701,A01502,865,"Garnier, Robert",,,,,"Herbert, Mary",yes,yes,no,Antonius,Printed: Antonius / Contemporary: The Tragedy of Antony,TR,TR,TR,TR,1590,1590,1592,1595,,,,yes,blank verse and couplets,
A11954,S111228,A11954_35,,"Shakespeare, William",,,,,,yes,yes,no,Antony and Cleopatra,,TR,,TR,,1606,1606,1623,1623,King's Men,,,,,
A50787,R16685,A50787,,"Middleton, Thomas",,,,,,yes,yes,no,Anything for a Quiet Life,,CO,,,,1621,,1662,1662,King's Men,,Blackfriars,,,
A03241,S104070,A03241_20,,"Heywood, Thomas",,,,,,yes,no,no,Apollo and Daphne,,DI,,DI,,1635,1635,1637,1637,,,,,,
